Function,Method,Result,Evaluation,Iterations,Function Evals,Gradient Evals,Hessian Evals,Real Min Eval,Final Error (2-norm)
Function 1,Hill Climber,[-2.16427134  2.44786809],35.54978050045416,1001,1001,0,0,1.3000000000001024,3.2674347487603197
Function 2,Hill Climber,[-0.08988765  0.71266084],-1.0316284454104845,1001,1001,0,0,-1.0316284534898768,4.585091749505427e-05
Rastrigin,Hill Climber,[-1.9899328   1.98979818],7.9596650404094875,1001,1001,0,0,7.959662381108199,0.00011588449244152415
Function 1,Newton,[0. 0.],1.3,22,22,22,22,1.3000000000001024,1.8331237142950615e-07
Function 2,Newton,[-0.1260232  1.0077853],-0.000503130803321053,22,22,22,22,-1.0316284534898768,0.29733843889436046
Rastrigin,Newton,[-1.98991223  1.98991223],7.959662381108174,22,22,22,22,7.959662381108199,1.0932022623624449e-08
Function 1,Gradient Descent Wolfe,[-4.00053409  4.00045779],105.32594309709297,21,421,21,0,1.3000000000001024,5.657555794753858
Function 2,Gradient Descent Wolfe,[-1.56294466  0.89419207],0.06029955518089081,21,387,21,0,-1.0316284534898768,1.4842461332901264
Rastrigin,Gradient Descent Wolfe,[-1.53152802e-14  1.53152802e-14],0.0,3,24,3,0,7.959662381108199,2.814160868810659
